Tenure,Distance,Kenpei,Youseki,Reform,E_Size,E_Tenure,E_Distance,E_Kenpei,E_Youseki,E_Reform,Size,Hat_B,Hat_Y_D1,Hat_B_OLS,Hat_Y_OLS
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,15,7.427134063705448,41.46169028207795,6.461132554982077,6.461132554982077
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,15,-6.348100329511948,12.243218926552586,-16.00656221530522,-16.00656221530522
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,16,7.656585406811531,42.10481002661615,8.030209096297828,8.030209096297828
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,16,-6.118648986405866,12.69302087601679,-14.437485673989471,-14.437485673989471
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,17,7.886307160230508,42.74792977115433,9.599285637613578,9.599285637613578
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,17,-5.888927232986887,13.142822825480994,-12.86840913267372,-12.86840913267372
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,18,7.221690562563965,43.5333452225548,11.168362178929328,11.168362178929328
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,18,-5.528090600611285,13.951698702583876,-11.29933259135797,-11.29933259135797
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,19,7.452768941472434,44.176464967093,12.737438720245077,12.737438720245077
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,19,-5.297012221702817,14.401500652048083,-9.730256050042222,-9.730256050042222
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,20,7.6849335355575,44.81958471163118,14.306515261560827,14.306515261560827
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,20,-5.064847627617749,14.85130260151229,-8.161179508726471,-8.161179508726471
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,21,7.918460693415488,45.46270445616936,15.875591802876578,15.875591802876578
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,21,-4.831320469759761,15.301104550976499,-6.592102967410721,-6.592102967410721
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,22,8.153644418209774,46.10582420070756,17.444668344192326,17.444668344192326
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,22,-4.5961367449654755,15.750906500440705,-5.0230264260949715,-5.0230264260949715
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,23,9.126976403060926,47.147378287814064,19.01374488550808,19.01374488550808
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,23,-4.252650049181927,17.176408173295236,-3.4539498847792216,-3.4539498847792216
