Price,BuildY,TradeY,TradeQ,Tenure,Size,Distance,D,District,Area
65,2009,2021,1,12,75,10,0,CBD,CBD
75,2016,2021,1,5,75,13,0,CBD,CBD
77,2015,2021,1,6,75,9,0,CBD,CBD
68,2015,2021,1,6,75,9,0,CBD,CBD
77,2013,2021,1,8,75,11,0,CBD,CBD
71,2016,2021,1,5,65,13,0,CBD,CBD
76,2016,2021,1,5,80,13,0,CBD,CBD
97,2015,2021,1,6,75,9,0,CBD,CBD
83,2015,2021,1,6,75,9,0,CBD,CBD
82,2015,2021,1,6,75,9,0,CBD,CBD
70,2015,2021,1,6,60,9,0,CBD,CBD
63,2009,2021,1,12,80,10,0,CBD,CBD
57,2015,2021,1,6,45,9,0,CBD,CBD
68,2013,2021,1,8,65,11,0,CBD,CBD
41,2009,2021,1,12,45,10,0,CBD,CBD
82,2015,2021,1,6,75,9,0,CBD,CBD
38,2009,2021,1,12,40,10,0,CBD,CBD
70,2013,2021,1,8,65,11,0,CBD,CBD
79,2015,2021,1,6,75,9,0,CBD,CBD
85,2015,2021,1,6,60,9,0,CBD,CBD
79,2016,2021,1,5,80,13,0,CBD,CBD
60,1998,2021,1,23,70,7,0,CBD,CBD
60,2009,2021,1,12,80,10,0,CBD,CBD
83,2015,2021,1,6,75,9,0,CBD,CBD
87,2016,2021,1,5,80,13,0,CBD,CBD
65,2013,2021,1,8,65,11,0,CBD,CBD
63,2009,2021,1,12,75,10,0,CBD,CBD
46,2013,2021,1,8,45,11,0,CBD,CBD
83,2015,2021,1,6,75,9,0,CBD,CBD
63,2015,2021,1,6,60,9,0,CBD,CBD
48,2003,2021,1,18,60,4,0,CBD,CBD
68,2008,2021,1,13,65,5,0,CBD,CBD
42,2003,2021,1,18,50,4,0,CBD,CBD
71,2014,2021,1,7,70,3,0,CBD,CBD
59,2016,2021,1,5,50,6,0,CBD,CBD
79,2016,2021,1,5,70,6,0,CBD,CBD
90,2008,2021,1,13,80,5,0,CBD,CBD
60,2008,2021,1,13,65,5,0,CBD,CBD
68,2016,2021,1,5,60,6,0,CBD,CBD
99,2016,2021,1,5,85,6,0,CBD,CBD
88,2016,2021,1,5,75,6,0,CBD,CBD
53,2014,2021,1,7,55,2,0,CBD,CBD
78,2016,2021,1,5,75,6,0,CBD,CBD
62,2016,2021,1,5,60,6,0,CBD,CBD
21,1973,2021,1,48,45,3,0,CBD,CBD
58,2000,2021,1,21,65,3,0,CBD,CBD
57,2008,2021,1,13,60,5,0,CBD,CBD
72,2016,2021,1,5,70,6,0,CBD,CBD
57,1997,2021,1,24,65,10,0,CBD,CBD
82,2008,2021,1,13,80,6,0,CBD,CBD
84,2016,2021,1,5,80,6,0,CBD,CBD
55,2007,2021,1,14,60,7,0,CBD,CBD
78,2008,2021,1,13,80,5,0,CBD,CBD
59,2007,2021,1,14,70,7,0,CBD,CBD
54,2014,2021,1,7,55,2,0,CBD,CBD
57,2007,2021,1,14,70,7,0,CBD,CBD
60,2007,2021,1,14,70,7,0,CBD,CBD
72,2008,2021,1,13,70,5,0,CBD,CBD
95,2016,2021,1,5,75,6,0,CBD,CBD
75,2008,2021,1,13,75,5,0,CBD,CBD
21,1973,2021,1,48,35,9,0,CBD,CBD
60,2007,2021,1,14,70,7,0,CBD,CBD
55,2003,2021,1,18,65,4,0,CBD,CBD
100,2016,2021,1,5,85,6,0,CBD,CBD
72,2012,2021,1,9,80,8,0,CBD,CBD
62,2016,2021,1,5,50,6,0,CBD,CBD
58,2012,2021,1,9,55,3,0,CBD,CBD
21,1980,2021,1,41,30,4,0,CBD,CBD
36,2006,2021,1,15,50,2,0,CBD,CBD
37,2004,2021,1,17,55,2,0,CBD,CBD
55,2005,2021,1,16,50,2,0,CBD,CBD
65,2004,2021,1,17,55,5,0,CBD,CBD
20,1991,2021,1,30,25,3,0,CBD,CBD
69,1999,2021,1,22,85,3,0,CBD,CBD
26,2004,2021,1,17,25,3,0,CBD,CBD
37,1978,2021,1,43,45,4,0,CBD,CBD
58,2004,2021,1,17,35,5,0,CBD,CBD
82,2004,2021,1,17,60,6,0,CBD,CBD
28,2003,2021,1,18,25,2,0,CBD,CBD
61,1978,2021,1,43,60,6,0,CBD,CBD
52,2003,2021,1,18,60,3,0,CBD,CBD
23,2003,2021,1,18,25,2,0,CBD,CBD
27,1999,2021,1,22,30,5,0,CBD,CBD
11,1980,2021,1,41,25,4,0,CBD,CBD
69,2007,2021,1,14,65,2,0,CBD,CBD
42,2005,2021,1,16,45,3,0,CBD,CBD
60,1998,2021,1,23,80,3,0,CBD,CBD
28,1978,2021,1,43,45,3,0,CBD,CBD
73,2005,2021,1,16,75,6,0,CBD,CBD
55,1982,2021,1,39,65,8,0,CBD,CBD
80,2015,2021,1,6,70,6,0,CBD,CBD
60,2016,2021,1,5,55,4,0,CBD,CBD
66,2004,2021,1,17,75,3,0,CBD,CBD
79,2004,2021,1,17,85,5,0,CBD,CBD
20,1986,2021,1,35,25,3,0,CBD,CBD
14,1979,2021,1,42,25,4,0,CBD,CBD
66,2012,2021,1,9,60,6,0,CBD,CBD
15,1982,2021,1,39,25,6,0,CBD,CBD
60,1999,2021,1,22,60,5,0,CBD,CBD
52,2014,2021,1,7,45,2,0,CBD,CBD
27,2005,2021,1,16,25,3,0,CBD,CBD
90,2004,2021,1,17,85,2,0,CBD,CBD
52,2005,2021,1,16,50,1,0,CBD,CBD
63,2014,2021,1,7,60,4,0,CBD,CBD
75,2015,2021,1,6,70,1,0,CBD,CBD
40,2004,2021,1,17,40,2,0,CBD,CBD
78,2015,2021,1,6,70,1,0,CBD,CBD
120,2015,2021,1,6,80,1,0,CBD,CBD
54,2005,2021,1,16,55,3,0,CBD,CBD
85,2013,2021,1,8,75,4,0,CBD,CBD
41,2010,2021,1,11,45,1,0,CBD,CBD
60,2003,2021,1,18,65,1,0,CBD,CBD
85,2012,2021,1,9,80,5,0,CBD,CBD
41,1996,2021,1,25,60,2,0,CBD,CBD
90,2016,2021,1,5,80,3,0,CBD,CBD
56,1991,2021,1,30,60,6,0,CBD,CBD
100,1999,2021,1,22,75,8,0,CBD,CBD
50,2011,2021,1,10,45,2,0,CBD,CBD
72,2004,2021,1,17,65,3,0,CBD,CBD
27,1981,2021,1,40,45,2,0,CBD,CBD
48,2015,2021,1,6,45,2,0,CBD,CBD
28,1982,2021,1,39,35,3,0,CBD,CBD
64,2003,2021,1,18,60,4,0,CBD,CBD
50,2016,2021,1,5,45,5,0,CBD,CBD
20,1973,2021,1,48,30,2,0,CBD,CBD
52,2011,2021,1,10,50,5,0,CBD,CBD
47,2010,2021,1,11,45,4,0,CBD,CBD
40,2002,2021,1,19,45,3,0,CBD,CBD
77,2015,2021,1,6,65,6,0,CBD,CBD
40,2010,2021,1,11,40,5,0,CBD,CBD
41,2005,2021,1,16,40,3,0,CBD,CBD
89,2014,2021,1,7,75,2,0,CBD,CBD
27,1979,2023,1,44,40,3,1,CBD,CBD
37,2002,2023,1,21,35,1,1,CBD,CBD
25,1979,2023,1,44,40,3,1,CBD,CBD
48,1999,2023,1,24,45,3,1,CBD,CBD
23,2006,2023,1,17,25,3,1,CBD,CBD
33,2005,2023,1,18,30,1,1,CBD,CBD
67,2014,2023,1,9,55,4,1,CBD,CBD
83,2015,2023,1,8,60,4,1,CBD,CBD
110,2011,2023,1,12,70,3,1,CBD,CBD
46,2011,2023,1,12,45,4,1,CBD,CBD
77,2015,2023,1,8,65,4,1,CBD,CBD
16,1992,2023,1,31,25,2,1,CBD,CBD
64,2006,2023,1,17,60,3,1,CBD,CBD
120,2015,2023,1,8,75,4,1,CBD,CBD
85,2013,2023,1,10,55,3,1,CBD,CBD
21,1979,2023,1,44,30,3,1,CBD,CBD
48,2006,2023,1,17,40,2,1,CBD,CBD
66,2001,2023,1,22,65,2,1,CBD,CBD
68,2014,2023,1,9,50,5,1,CBD,CBD
110,2011,2023,1,12,70,4,1,CBD,CBD
57,2002,2023,1,21,50,3,1,CBD,CBD
90,2017,2023,1,6,55,1,1,CBD,CBD
80,2011,2023,1,12,55,4,1,CBD,CBD
110,2018,2023,1,5,70,2,1,CBD,CBD
29,2011,2023,1,12,30,1,1,CBD,CBD
68,2011,2023,1,12,60,2,1,CBD,CBD
51,2006,2023,1,17,45,3,1,CBD,CBD
86,2016,2023,1,7,60,4,1,CBD,CBD
100,2015,2023,1,8,75,9,1,CBD,CBD
67,2015,2023,1,8,55,10,1,CBD,CBD
58,2016,2023,1,7,50,13,1,CBD,CBD
46,2009,2023,1,14,45,11,1,CBD,CBD
88,2015,2023,1,8,60,9,1,CBD,CBD
120,2015,2023,1,8,90,9,1,CBD,CBD
120,2015,2023,1,8,75,9,1,CBD,CBD
89,2015,2023,1,8,75,9,1,CBD,CBD
71,2015,2023,1,8,60,9,1,CBD,CBD
110,2013,2023,1,10,80,11,1,CBD,CBD
81,2013,2023,1,10,70,11,1,CBD,CBD
49,1998,2023,1,25,55,7,1,CBD,CBD
82,2016,2023,1,7,65,13,1,CBD,CBD
87,2015,2023,1,8,70,10,1,CBD,CBD
89,2015,2023,1,8,70,9,1,CBD,CBD
68,2013,2023,1,10,60,11,1,CBD,CBD
79,2015,2023,1,8,60,9,1,CBD,CBD
91,2015,2023,1,8,75,9,1,CBD,CBD
96,2016,2023,1,7,75,15,1,CBD,CBD
72,2015,2023,1,8,55,10,1,CBD,CBD
90,2015,2023,1,8,60,9,1,CBD,CBD
93,2016,2023,1,7,80,13,1,CBD,CBD
110,2015,2023,1,8,75,9,1,CBD,CBD
72,2016,2023,1,7,60,14,1,CBD,CBD
90,2009,2023,1,14,85,12,1,CBD,CBD
85,2015,2023,1,8,60,9,1,CBD,CBD
58,2013,2023,1,10,45,12,1,CBD,CBD
82,2016,2023,1,7,65,15,1,CBD,CBD
60,2013,2023,1,10,45,11,1,CBD,CBD
82,2015,2023,1,8,60,9,1,CBD,CBD
81,2015,2023,1,8,60,9,1,CBD,CBD
98,2015,2023,1,8,75,10,1,CBD,CBD
85,2016,2023,1,7,75,15,1,CBD,CBD
65,2009,2023,1,14,70,12,1,CBD,CBD
92,2013,2023,1,10,80,11,1,CBD,CBD
90,2015,2023,1,8,75,9,1,CBD,CBD
44,2009,2023,1,14,40,10,1,CBD,CBD
91,2015,2023,1,8,75,9,1,CBD,CBD
67,2015,2023,1,8,55,10,1,CBD,CBD
93,2016,2023,1,7,75,14,1,CBD,CBD
57,2016,2023,1,7,50,13,1,CBD,CBD
90,2015,2023,1,8,70,9,1,CBD,CBD
67,2015,2023,1,8,45,10,1,CBD,CBD
70,1998,2023,1,25,70,7,1,CBD,CBD
85,2010,2023,1,13,65,1,1,CBD,CBD
