Price,BuildY,TradeY,TradeQ,Tenure,Size,Distance,D,District,Area,Group,ResY,ResD
150,2009,2023,1,14,70,2,1,CBD,CBD,70_CBD_2_14,-2.54243559538736e-9,-2.472133608932836e-11
68,1980,2023,1,43,65,4,1,CBD,CBD,65_CBD_4_43,12.999999995063504,0.499999999953312
160,2003,2023,1,20,70,1,1,CBD,CBD,70_CBD_1_20,-2.5179929252772126e-9,-2.4713120438946135e-11
85,2018,2023,1,5,60,1,1,CBD,CBD,60_CBD_1_5,3.49999999520287,0.249999999954015
90,2018,2023,1,5,60,1,1,CBD,CBD,60_CBD_1_5,8.49999999520287,0.249999999954015
79,2018,2023,1,5,60,1,1,CBD,CBD,60_CBD_1_5,-2.50000000479713,0.249999999954015
200,2017,2023,1,6,75,2,1,CBD,CBD,75_CBD_2_6,34.999999996450384,-3.1608493600288057e-11
98,1981,2023,1,42,70,2,1,CBD,CBD,70_CBD_2_42,-1.6297718730129418e-9,-1.6794787782714593e-11
160,2015,2023,1,8,70,3,1,CBD,CBD,70_CBD_3_8,40.749999995760106,-3.916156288141792e-11
20,1982,2023,1,41,25,2,1,CBD,CBD,25_CBD_2_41,-6.243151773333011e-9,-3.702460560361942e-11
92,2001,2023,1,22,60,4,1,CBD,CBD,60_CBD_4_22,-3.0347564461408183e-9,-2.6174395983957766e-11
86,2015,2023,1,8,55,5,1,CBD,CBD,55_CBD_5_8,11.99999999442312,0.49999999994955546
70,2003,2023,1,20,55,1,1,CBD,CBD,55_CBD_1_20,-4.5690171646128874e-9,-4.2446934855888685e-11
58,2018,2023,1,5,40,6,1,CBD,CBD,40_CBD_6_5,-5.000000006436295,-2.815880861817277e-11
26,1985,2023,1,38,35,5,1,CBD,CBD,35_CBD_5_38,-2.389075604014579e-9,-2.27000640506958e-11
18,1981,2023,1,42,25,6,1,CBD,CBD,25_CBD_6_42,-0.9999999999821476,1.3083312211392695e-11
33,2001,2023,1,22,30,4,1,CBD,CBD,30_CBD_4_22,-5.0842601240219665e-9,-4.963007782521345e-11
48,2012,2023,1,11,45,5,1,CBD,CBD,45_CBD_5_11,-6.381327466442599e-9,-2.1402213334908993e-11
40,1984,2023,1,39,45,6,1,CBD,CBD,45_CBD_6_39,-5.637190270135761e-9,-5.044786810515234e-11
70,2005,2023,1,18,70,2,1,CBD,CBD,70_CBD_2_18,-1.567954655001813e-9,-1.6324053220273527e-11
100,2018,2023,1,5,75,4,1,CBD,CBD,75_CBD_4_5,5.999999997695014,0.49999999997776867
69,2006,2023,1,17,60,5,1,CBD,CBD,60_CBD_5_17,-2.000000000641336,0.49999999999198885
32,2007,2023,1,16,30,4,1,CBD,CBD,30_CBD_4_16,-3.0000000001077964,0.49999999999794054
50,2013,2023,1,10,35,3,1,CBD,CBD,35_CBD_3_10,-2.799176002099557e-9,-2.502487106426088e-11
23,1977,2023,1,46,35,4,1,CBD,CBD,35_CBD_4_46,-5.550482740090956e-9,-4.9865667151038906e-11
60,2007,2023,1,16,40,4,1,CBD,CBD,40_CBD_4_16,-2.3878925503595383e-9,-2.2947865829792136e-11
210,2003,2023,1,20,90,4,1,CBD,CBD,90_CBD_4_20,-3.768292344830115e-9,-3.3571367907825334e-11
55,1982,2023,1,41,50,3,1,CBD,CBD,50_CBD_3_41,3.499999995688256,-4.0099923381831104e-11
140,2003,2023,1,20,70,4,1,CBD,CBD,70_CBD_4_20,-2.15129603020614e-9,-2.113598185360388e-11
27,1982,2023,1,41,30,1,1,CBD,CBD,30_CBD_1_41,2.499999994104428,0.49999999994794364
94,1982,2023,1,41,75,4,1,CBD,CBD,75_CBD_4_41,-4.622876303983503e-9,-4.3684389439135884e-11
100,1982,2023,1,41,80,3,1,CBD,CBD,80_CBD_3_41,-3.973525508627063e-9,-3.566480444305853e-11
59,2000,2023,1,23,60,7,1,CBD,CBD,60_CBD_7_23,1.4999999996202646,0.4999999999942566
19,1980,2023,1,43,25,4,1,CBD,CBD,25_CBD_4_43,-5.9161848753319646e-9,-5.1455728566907055e-11
93,2018,2023,1,5,60,2,1,CBD,CBD,60_CBD_2_5,1.499999997012793,-2.5878188480987774e-11
97,2016,2023,1,7,65,2,1,CBD,CBD,65_CBD_2_7,-1.5000000033955843,-3.005040660752911e-11
100,2014,2023,1,9,60,1,1,CBD,CBD,60_CBD_1_9,-9.049472282640636e-10,-9.7462038439744e-12
81,2004,2023,1,19,50,5,1,CBD,CBD,50_CBD_5_19,-2.592173586890567e-9,-2.540145871421373e-11
110,2016,2023,1,7,55,3,1,CBD,CBD,55_CBD_3_7,-4.486267357606266e-9,-4.0427439174095525e-11
31,2009,2023,1,14,25,5,1,CBD,CBD,25_CBD_5_14,-3.1306512937590014e-11,3.659073044559591e-12
52,2013,2021,1,8,40,2,0,CBD,CBD,40_CBD_2_8,-4.670766884373734e-9,-4.498734718083597e-11
88,2012,2021,1,9,70,1,0,CBD,CBD,70_CBD_1_9,-1.8008137203651131e-9,-1.8036905302665218e-11
78,2002,2021,1,19,65,1,0,CBD,CBD,65_CBD_1_19,-21.333333336753313,-0.6666666666963679
69,2001,2021,1,20,55,3,0,CBD,CBD,55_CBD_3_20,-3.973283924096904e-9,-3.484612598469994e-11
67,2015,2021,1,6,65,4,0,CBD,CBD,65_CBD_4_6,-4.6672994358232245e-9,-4.405564801857054e-11
63,2014,2021,1,7,60,4,0,CBD,CBD,60_CBD_4_7,-17.00000000450858,-0.2000000000423121
52,2009,2021,1,12,55,4,0,CBD,CBD,55_CBD_4_12,-17.00000000571552,-0.6666666667181536
80,2013,2021,1,8,65,3,0,CBD,CBD,65_CBD_3_8,-9.562768354953732e-10,-1.2392087356261072e-11
31,1981,2021,1,40,50,2,0,CBD,CBD,50_CBD_2_40,-11.500000000544588,-0.4999999999794196
63,2015,2021,1,6,55,4,0,CBD,CBD,55_CBD_4_6,-4.7073314135559485e-9,-4.4683590161298525e-11
46,2001,2021,1,20,50,6,0,CBD,CBD,50_CBD_6_20,-16.00000000113768,-0.5000000000137246
50,2005,2021,1,16,55,4,0,CBD,CBD,55_CBD_4_16,-3.1939180189510807e-9,-2.715472291470178e-11
25,2003,2021,1,18,25,2,0,CBD,CBD,25_CBD_2_18,-0.3333333394698137,-5.0206727664203754e-11
75,2002,2021,1,19,80,4,0,CBD,CBD,80_CBD_4_19,-3.3197693483089097e-9,-2.993738590362227e-11
110,2005,2021,1,16,90,1,0,CBD,CBD,90_CBD_1_16,-3.873395826303749e-9,-3.426969819031456e-11
51,2002,2021,1,19,50,6,0,CBD,CBD,50_CBD_6_19,-6.361055682191363e-9,-3.6889380439220076e-11
55,2011,2021,1,10,50,2,0,CBD,CBD,50_CBD_2_10,-3.506414714138373e-9,-3.19273496529604e-11
53,2006,2021,1,15,60,4,0,CBD,CBD,60_CBD_4_15,-4.458506452920119e-9,-4.009481635591783e-11
14,1980,2021,1,41,25,3,0,CBD,CBD,25_CBD_3_41,-1.3333333387250406,-0.6666666667176624
51,2016,2021,1,5,45,4,0,CBD,CBD,45_CBD_4_5,-8.333333339172285,-0.6666666667185321
75,2016,2021,1,5,55,6,0,CBD,CBD,55_CBD_6_5,-7.662777079531224e-10,-9.310996418321338e-12
98,2016,2021,1,5,75,6,0,CBD,CBD,75_CBD_6_5,8.249999996688075,-2.917088792742106e-11
79,2002,2021,1,19,75,4,0,CBD,CBD,75_CBD_4_19,-4.090452421223745e-9,-3.7408742770139725e-11
60,2015,2021,1,6,55,3,0,CBD,CBD,55_CBD_3_6,-3.008921112268581e-9,-2.667421838964401e-11
60,2015,2021,1,6,55,3,0,CBD,CBD,55_CBD_3_6,-3.008921112268581e-9,-2.667421838964401e-11
58,2006,2021,1,15,55,4,0,CBD,CBD,55_CBD_4_15,-4.258289720837638e-9,-3.9353853509283e-11
43,2008,2021,1,13,40,4,0,CBD,CBD,40_CBD_4_13,-5.242839051788906e-9,-5.092948285323473e-11
86,2016,2021,1,5,85,13,0,CBD,CBD,85_CBD_13_5,-3.946126980736153e-9,-3.494915468138515e-11
65,2009,2021,1,12,75,10,0,CBD,CBD,75_CBD_10_12,0.9999999972402378,-2.552491551455205e-11
75,2016,2021,1,5,75,13,0,CBD,CBD,75_CBD_13_5,-3.773635626203031e-9,-3.344369225999344e-11
77,2015,2021,1,6,75,9,0,CBD,CBD,75_CBD_9_6,-9.727272728844184,-1.6264101176943768e-11
68,2015,2021,1,6,75,9,0,CBD,CBD,75_CBD_9_6,-18.727272728844184,-1.6264101176943768e-11
77,2013,2021,1,8,75,11,0,CBD,CBD,75_CBD_11_8,8.499999997024219,-2.506550522696216e-11
71,2016,2021,1,5,65,13,0,CBD,CBD,65_CBD_13_5,-6.008207265040255e-9,-5.158518057157835e-11
76,2016,2021,1,5,80,13,0,CBD,CBD,80_CBD_13_5,-4.666666669783936,-2.6705304634333515e-11
97,2015,2021,1,6,75,9,0,CBD,CBD,75_CBD_9_6,10.272727271155816,-1.6264101176943768e-11
83,2015,2021,1,6,75,9,0,CBD,CBD,75_CBD_9_6,-3.7272727288441843,-1.6264101176943768e-11
82,2015,2021,1,6,75,9,0,CBD,CBD,75_CBD_9_6,-4.727272728844184,-1.6264101176943768e-11
70,2015,2021,1,6,60,9,0,CBD,CBD,60_CBD_9_6,-2.6666666706102546,-3.593902953014094e-11
63,2009,2021,1,12,80,10,0,CBD,CBD,80_CBD_10_12,1.4999999957262418,-3.948574800460847e-11
57,2015,2021,1,6,45,9,0,CBD,CBD,45_CBD_9_6,-4.208835946428735e-9,-3.842481888227667e-11
68,2013,2021,1,8,65,11,0,CBD,CBD,65_CBD_11_8,0.3333333294348222,-3.5214942073480415e-11
41,2009,2021,1,12,45,10,0,CBD,CBD,45_CBD_10_12,-5.501348709913145e-9,-5.10587128133011e-11
82,2015,2021,1,6,75,9,0,CBD,CBD,75_CBD_9_6,-4.727272728844184,-1.6264101176943768e-11
38,2009,2021,1,12,40,10,0,CBD,CBD,40_CBD_10_12,-6.262297347348067e-10,-8.381517702105157e-12
70,2013,2021,1,8,65,11,0,CBD,CBD,65_CBD_11_8,2.333333329434822,-3.5214942073480415e-11
79,2015,2021,1,6,75,9,0,CBD,CBD,75_CBD_9_6,-7.727272728844184,-1.6264101176943768e-11
85,2015,2021,1,6,60,9,0,CBD,CBD,60_CBD_9_6,12.333333329389745,-3.593902953014094e-11
79,2016,2021,1,5,80,13,0,CBD,CBD,80_CBD_13_5,-1.666666669783936,-2.6705304634333515e-11
60,1998,2021,1,23,70,7,0,CBD,CBD,70_CBD_7_23,-1.9236878756601072e-9,-1.8583579119990645e-11
60,2009,2021,1,12,80,10,0,CBD,CBD,80_CBD_10_12,-1.5000000042737582,-3.948574800460847e-11
83,2015,2021,1,6,75,9,0,CBD,CBD,75_CBD_9_6,-3.7272727288441843,-1.6264101176943768e-11
87,2016,2021,1,5,80,13,0,CBD,CBD,80_CBD_13_5,6.333333330216064,-2.6705304634333515e-11
65,2013,2021,1,8,65,11,0,CBD,CBD,65_CBD_11_8,-2.666666670565178,-3.5214942073480415e-11
63,2009,2021,1,12,75,10,0,CBD,CBD,75_CBD_10_12,-1.0000000027597622,-2.552491551455205e-11
46,2013,2021,1,8,45,11,0,CBD,CBD,45_CBD_11_8,-1.1319372106299852e-9,-1.2982281916151805e-11
83,2015,2021,1,6,75,9,0,CBD,CBD,75_CBD_9_6,-3.7272727288441843,-1.6264101176943768e-11
63,2015,2021,1,6,60,9,0,CBD,CBD,60_CBD_9_6,-9.666666670610255,-3.593902953014094e-11
48,2003,2021,1,18,60,4,0,CBD,CBD,60_CBD_4_18,-12.000000006207351,-4.8472781344344185e-11
68,2008,2021,1,13,65,5,0,CBD,CBD,65_CBD_5_13,3.9999999969870146,-2.5609958598238336e-11
42,2003,2021,1,18,50,4,0,CBD,CBD,50_CBD_4_18,-6.380439288022899e-9,-2.9125590828016357e-11
71,2014,2021,1,7,70,3,0,CBD,CBD,70_CBD_3_7,-4.301455192035064e-9,-4.010991538905273e-11
59,2016,2021,1,5,50,6,0,CBD,CBD,50_CBD_6_5,-1.5000000060359113,-5.114886292290066e-11
79,2016,2021,1,5,70,6,0,CBD,CBD,70_CBD_6_5,3.4999999960239734,-3.4792169145703156e-11
90,2008,2021,1,13,80,5,0,CBD,CBD,80_CBD_5_13,-6.000000003366466,-2.963940204381288e-11
60,2008,2021,1,13,65,5,0,CBD,CBD,65_CBD_5_13,-4.000000003012985,-2.5609958598238336e-11
68,2016,2021,1,5,60,6,0,CBD,CBD,60_CBD_6_5,2.9999999954302297,-4.162803435292517e-11
99,2016,2021,1,5,85,6,0,CBD,CBD,85_CBD_6_5,-0.5000000042272745,-3.8219871711930864e-11
88,2016,2021,1,5,75,6,0,CBD,CBD,75_CBD_6_5,-1.750000003311925,-2.917088792742106e-11
